attendance_percentage,assignments_rate,quizzes_score,previous_grades,time_spent_on_study,extracurricular,stress_level,dropout_confidense
97.36,73.69,53.17,59.8865,10.3,1,1,0.5206
97.71,74.23,98.23,81.917,27.1,0,4,0.2414
99.52,85.85,50,67.717,12.4,1,9,0.4837
90.38,68.1,66.27,51.6535,25.5,0,8,0.6154
59.41,67.66,83.98,71.403,13.3,1,6,0.5765
60.6,87.85,52.26,68.09,25.3,1,6,0.5241
67.01,89,54.17,82.8575,22.1,1,2,0.5196
65.91,50.72,53.83,71.3685,16.7,1,5,0.7265
97.83,57.19,79.08,65.8605,18.1,0,9,0.4858
89.45,60.65,94.8,82.7555,9.4,1,8,0.4569
86.2,67.58,77.77,79.986,7.9,1,4,0.4424
59.3,64.57,80.18,77.6705,22.9,1,7,0.5161
95.48,83.43,67.3,70.909,26.2,0,9,0.3978
91.39,91.41,50.94,66.7105,23,0,5,0.3388
58.18,59.6,51.08,63.7,27.8,0,2,0.6058
93.56,78.15,94.42,70.567,27.3,1,2,0.2126
63.61,68.39,55.13,68.4415,24.5,0,8,0.6041
54.04,75.29,99.99,65.373,27.5,0,8,0.5485
82.84,81.04,58.22,61.4295,9.2,1,8,0.5187
82.69,94.68,83.73,80.2355,23.3,0,5,0.2485
54.75,59.61,97.45,68.056,23.8,0,2,0.6527
65.94,54.35,68.11,72.2395,8.8,0,10,0.7415
99.64,81.36,86.72,59.3065,27.7,0,8,0.3429
83.92,69.71,67.54,81.2455,5.2,1,4,0.4398
86.5,58.15,65.25,78.4575,15.9,0,9,0.5471
60.65,55.85,60.09,76.841,5.5,0,10,0.8072
53.94,77.95,91.05,81.05,18.1,0,6,0.4843
63.85,65.02,62.87,71.425,15.3,0,10,0.7189
62.44,99.87,64.16,77.0615,20.6,1,7,0.4163
61.73,70.3,99.95,62.437,24.2,1,3,0.4517
59.64,60.61,66.37,66.0145,24.2,1,2,0.5686
78.74,81.44,71.14,59.4345,23.1,1,2,0.5269
66.41,62.21,99.5,75.3605,7.5,1,3,0.5326
91.02,74.7,68.47,60.8405,15.4,0,7,0.4742
59.2,74.13,68.31,75.453,25.4,0,8,0.6264
73.23,72.68,91.39,72.686,21.4,0,4,0.4017
50.68,89.8,65.6,64.587,22,1,3,0.563
74.08,60.83,61.69,54.846,10.7,1,7,0.5881
52.79,95.22,71.16,76.036,13.1,1,3,0.452
98.89,89.57,85.03,70.524,28.9,0,8,0.2803
89.53,66.66,52.16,74.415,26.2,1,4,0.4753
74.51,59.03,68.7,82.207,9.1,1,8,0.6015
54.33,63.98,67.31,70.0885,18.6,0,2,0.673
79.62,66.63,62.24,62.5355,17.3,1,8,0.5585
87.94,77.85,82.71,74.6105,16.1,0,8,0.3682
59.54,52.32,64.5,66.4695,16.8,1,10,0.6893
78.41,95.72,80.34,74.4005,21.1,1,3,0.2953
90.71,54.93,75.22,64.285,29.2,0,2,0.5181
88.41,63.96,60.86,74.3145,26.9,0,7,0.5087
90.15,55.46,63.33,64.0355,26.9,0,9,0.467
93.97,62.83,58.53,65.7015,22.6,1,10,0.5129
96.88,91.88,52.83,71.7035,5.4,0,1,0.4468
70.28,80.76,80.96,75.0925,16,1,5,0.4225
78.44,61.37,83.64,68.2895,17.8,0,3,0.5667
89.53,93.59,58.3,77.7435,26.1,1,9,0.3809
84.86,90.04,80.77,74.7025,28.1,0,8,0.3888
99.78,87.68,99.1,79.403,16.3,0,9,0.2406
50.68,92.38,53.72,74.5145,12.5,1,9,0.6193
67.76,80.98,74.52,76.561,13.4,0,10,0.5924
64.05,75.07,86.65,77.554,19.5,0,3,0.5515
63.12,68.7,52.3,69.9835,11.9,1,7,0.6553
61.13,61.19,88.91,83.86,27.8,1,5,0.4469
85.46,77.87,98.98,73.2555,15.5,1,6,0.2973
54.24,94.47,54.42,81.3665,29.8,1,8,0.4142
87.08,79.7,91.11,71.657,7.7,0,10,0.5259
84.67,95.98,68.93,77.2365,9.7,0,8,0.5246
62.54,67.85,57.21,60.7255,17.8,1,7,0.6631
62.64,84.76,74.66,80.319,26.7,1,1,0.4436
81.44,82.43,53.58,73.3265,13.8,1,1,0.491
88.11,83.52,76.11,78.4305,25.9,0,6,0.3233
93.82,82.25,50.97,62.484,15.6,0,9,0.5578
92.61,61.08,86.43,75.0805,26.3,1,8,0.4388
98.24,57.18,74.4,61.5855,11.9,0,1,0.5266
79.07,98.93,72.95,72.752,16.8,1,8,0.4617
95.43,52.26,59.81,73.3345,12,0,5,0.457
90.43,73.39,68.06,76.8655,10.4,0,2,0.5258
94.73,71.25,59.09,66.8915,15.5,0,7,0.5338
50.58,68,86.77,67.272,13.4,1,2,0.5988
98.3,89.1,59.95,70.4535,24.7,1,4,0.3083
73.68,87.27,80.84,71.6,23.7,1,4,0.2743
89.91,95.26,63.98,65.122,14,0,5,0.4357
56.36,69.77,82.85,72.416,29.8,0,6,0.5639
69.8,78.21,77.02,77.5895,29.3,1,2,0.4498
63.57,94.62,71.17,62.645,27.9,1,8,0.4251
64.58,99.69,83.65,63.94,19.7,1,9,0.3982
56.16,98.46,70.79,72.657,15.3,0,3,0.5128
90.29,85.89,91.07,69.629,12.8,0,7,0.4499
50.46,57.16,86.48,74.067,5.4,0,4,0.7612
65.63,51.16,77.03,64.651,20.8,0,10,0.6675
58.72,91.26,93.85,81.4695,18.8,1,4,0.4152
79.45,92.05,91.44,74.4315,20.7,0,1,0.3405
62.71,87.32,76.59,85.901,19.4,1,5,0.4726
62.95,64,53.42,64.666,8.4,0,6,0.7439
74.42,81.99,78.3,69.686,22.4,1,5,0.4021
82.63,65.81,67.76,75.5215,14,1,6,0.4905
56.07,72.53,77.01,71.7975,17.9,0,3,0.5376
58.78,69.12,82.36,75.77,14.1,0,2,0.6135
62.36,95.68,82.24,74.885,5.5,0,5,0.5591
98.69,61.71,83.68,78.121,26.9,0,6,0.3625
69.86,78.88,83.96,72.0455,8.7,1,10,0.5271
79.95,68.05,55.46,68.094,19.6,0,6,0.5221
62.08,83.15,59.59,85.2515,27.1,0,5,0.48
74.52,78.23,81.53,72.5115,10.5,0,2,0.5014
53.71,96.2,70.41,85.1355,15.3,0,1,0.4671
51.74,55.08,88.14,71.837,14.4,0,10,0.7205
73.44,61.03,56.25,72.645,7.2,0,6,0.7304
69.93,88.32,59.58,76.7645,15.6,1,1,0.5608
56.84,68.44,77.92,57.8065,17,1,1,0.6207
84.38,58.29,75.04,65.269,5.7,1,6,0.6068
99.65,75.17,63.32,59.616,17.2,0,1,0.4538
69.78,82.61,70.42,71.148,7.3,1,2,0.4359
81.23,52.24,51.75,72.089,27.3,0,1,0.5721
98.15,64.58,51.85,67.0245,21.3,1,7,0.4785
91.58,90.47,54.75,76.321,6.4,1,4,0.5607
73.18,76.01,78.84,75.476,25.7,0,4,0.4425
86.87,51.77,93.19,65.403,14,1,4,0.5068
56.41,64.1,63.01,84.601,10.6,0,5,0.6948
75.61,81.96,51.7,71.197,11.3,0,9,0.5678
63.95,59.97,85.43,80.8085,19.9,1,5,0.5722
58.06,91.37,92.77,81.338,7,1,10,0.5379
71.31,83.83,56.91,66.9335,6.5,1,2,0.6184
56.55,73.57,69.29,70.7495,20.7,1,8,0.5464
84.95,95.78,57.94,76.06,29.5,1,8,0.3945
72.81,69.59,55.32,66.966,17.1,0,9,0.5882
76.56,61.75,82.41,87.2815,15.3,1,4,0.4835
57.32,83.07,98.38,68.8855,28.7,0,3,0.5528
56.99,78.66,83.91,77.4615,11,0,10,0.5726
79.17,66.76,99.24,55.226,11,0,6,0.5372
99.25,67.18,71.72,67.9385,27.6,1,1,0.3308
54.81,69.91,94.89,79.9985,21.2,1,6,0.4679
64.29,64.56,60.25,59.467,6.3,1,5,0.6466
93.47,85.51,55.9,88.172,21.8,0,1,0.3488
53.61,82.57,85.13,75.4775,25.5,1,6,0.4141
93.79,72.04,68.57,78.394,11.8,1,3,0.4374
76.21,69.89,65.88,61.162,14.6,1,8,0.5415
70.41,68.25,83.56,58.875,9.9,0,3,0.7056
65.48,64.17,66.67,56.402,20.8,0,3,0.6235
64.86,54.28,78.63,69.435,21.6,1,7,0.5768
65.29,63.41,64.97,66.837,6.7,1,1,0.7008
94.24,66.06,89.19,67.269,21.9,1,10,0.3278
86.19,77.38,65.62,75.316,21.5,0,10,0.4917
83.49,88.69,76.75,71.5315,5.9,1,8,0.5258
89.94,69.79,51.16,56.153,18.9,0,4,0.5018
62.86,97.24,89.59,72.9865,20.3,0,5,0.4421
80.9,91.37,81.02,66.3565,15.8,0,5,0.4542
73,99.24,59.61,64.865,27.5,0,4,0.4819
89.12,93.81,60.77,69.5955,13.2,0,1,0.3717
65.46,80.84,63.12,72.633,6.7,0,3,0.5706
82.16,79.92,78.83,87.8815,21.8,1,8,0.3715
94.11,56.48,77.42,64.388,20.1,0,2,0.5046
70.11,86.12,63.69,73.1925,29.7,0,8,0.4909
53.33,80.01,84.7,70.321,10.8,0,4,0.6419
75.8,75.35,94.45,62.992,14.9,1,9,0.4455
67.3,84.66,52.18,70.3875,16.5,0,8,0.6331
83.61,72.2,70.86,72.546,26.5,0,8,0.4811
97.55,76.19,79.68,77.9165,15.4,0,4,0.3449
74.28,69.92,79.32,61.622,24.3,0,2,0.6068
73.31,85.87,50.98,73.283,8.9,1,8,0.5997
82.73,93.83,60.53,71.8215,15.2,0,7,0.4204
55.17,92.04,53.09,76.0085,8.9,0,2,0.6761
62.68,89.3,78.45,65.054,28.7,0,7,0.4377
95.95,50.69,82.27,83.509,9.4,1,1,0.4727
83.5,95.59,57.99,75.338,15.5,1,6,0.4655
50.67,63.74,66.65,74.43,7.1,0,7,0.7411
60.23,94.4,66.49,74.9845,28,1,2,0.4553
84.14,59.85,90.99,66.302,20.6,1,2,0.4466
88.22,71.98,59.73,75.681,29.1,0,8,0.4926
91.99,87.47,77.42,76.83,6.1,0,2,0.5132
64.61,82.01,89.15,68.752,9.4,0,10,0.5816
96.55,70.8,91.48,75.9855,14.5,1,2,0.2849
77.65,83.93,83.33,75.426,20.5,1,5,0.3271
84.83,77.45,64.98,65.0285,13.2,1,4,0.4491
79.84,63.79,91.15,73.1315,22.8,1,1,0.3856
56.14,82.32,87.11,75.7835,9.1,0,8,0.6251
98.16,60.21,85.22,74.3575,20,0,4,0.4231
56.14,84.7,53.37,81.064,14.9,1,9,0.6441
62.74,50.16,52.16,64.032,17.7,0,2,0.7639
90.68,77.44,84.77,72.5165,19.2,0,2,0.4516
80.93,70.05,97.24,68.915,6.5,0,6,0.5172
91.91,65.16,88.69,59.7955,28.1,1,2,0.4857
75.79,75.79,91.57,61.5075,24.7,0,2,0.475
68.85,82.27,77.25,69.908,16.1,0,6,0.4981
96.09,98.27,65.23,81.782,18.7,1,6,0.2176
51.81,91.65,83.89,77.6165,5.8,0,8,0.6398
92.81,85.86,85.6,75.547,17.4,0,10,0.366
61.54,73.95,83.77,67.9125,15.7,1,1,0.5583
92.44,69.61,97.34,78.149,14.4,0,1,0.3917
56.96,51.63,68.36,76.6455,25.4,0,7,0.6731
79.01,67.95,51.98,64.666,9.5,1,9,0.6049
94.41,92.42,95.42,74.307,9.4,0,7,0.2732
73.68,69.2,58.02,60.2085,18,0,4,0.6147
87.33,73.08,84.87,69.842,22.2,1,9,0.4356
90.23,63.59,93.66,75.854,5.6,1,6,0.4632
86.82,63.71,65.51,71.6505,18.6,1,10,0.4497
96.27,53.09,91.52,59.417,12.5,1,1,0.4656
72.34,80.69,66.6,82.834,23.9,1,6,0.4407
58.66,72.4,89.71,68.679,16.7,1,10,0.5226
52.39,80.3,53.49,58.353,25.9,1,6,0.6403
62.32,77.34,82.76,69.057,14.9,1,1,0.512
57.16,89.94,83.86,84.0555,25.7,0,8,0.3976
77.9,87.55,74.57,74.983,22.9,1,5,0.3871
59.25,88.57,84.35,73.5945,25.7,1,4,0.4394
51.95,74.96,96.16,75.5375,25.3,0,10,0.6002
51.8,67.69,86.69,66.862,17.2,1,1,0.6349
91.58,96.67,98.06,60.661,14.2,1,5,0.2254
79.57,52.71,72.43,74.9885,24.1,1,1,0.4303
67.9,57.63,76.41,64.408,14,1,3,0.6371
94.71,70.98,63.19,74.5985,7.2,0,10,0.5845
53.51,80.7,99.28,59.3165,26.5,1,1,0.4792
99.02,50.41,52.76,66.9385,14.9,1,10,0.7731
80.81,85.97,67.93,66.889,8.3,1,3,0.5132
59.17,77.94,64.88,71.279,21.2,1,2,0.5932
83.95,74.24,69.33,70.02,27.2,0,4,0.491
88.17,71.17,95.89,70.36,26.5,1,7,0.3571
71.47,75.97,68.4,64.644,18.9,0,1,0.5371
93.08,58.09,95.85,62.0185,7.2,1,7,0.5343
57.54,55.44,71.17,74.931,22.4,0,6,0.6298
63.94,64.48,92.74,75.9055,20.2,1,4,0.4725
54.67,85.48,76.09,65.575,10.3,1,9,0.5944
60.54,79.41,65.57,75.5145,27.5,0,7,0.5514
61.94,74.01,72.47,58.897,7.2,1,10,0.8014
95.88,78.58,71.22,83.8565,14.3,1,10,0.2813
53.91,77.96,63,68.9235,7.4,0,5,0.76
71.37,65.35,64.48,74.839,27.8,1,2,0.3947
76.62,54.87,59.32,76.14,5.9,1,1,0.6044
94.93,94.84,66.8,81.971,15.6,1,2,0.3362
99.88,80,81.22,87.547,26.5,0,9,0.281
87.67,84.89,69.33,75.5125,11.3,0,2,0.394
98.54,73.2,85.62,76.6785,7.6,1,5,0.3405
89.36,87.82,99.35,73.483,8.2,0,8,0.4303
98.16,79.22,68.86,65.071,15.1,0,8,0.4287
85.36,52.69,73.13,78.9025,15.7,0,9,0.5887
53.99,94.5,58.21,75.657,23,0,4,0.5539
70.1,65.28,69.61,71.492,10.9,1,10,0.5911
82.33,56.89,86.34,78.388,22.5,1,7,0.5436
67.54,54.4,60.87,78.905,30,0,9,0.6428
63.67,86.02,59.1,69.6415,26.6,0,7,0.4486
78.87,85.2,68.82,69.266,20.9,1,1,0.4094
96.68,85.01,90.93,75.3615,28.5,0,6,0.2239
51.75,95.79,81.18,67.216,29.8,1,2,0.4579
88.46,67.45,97.88,85.2475,19.3,1,7,0.2853
86.14,78.06,95.23,78.573,11.8,1,9,0.3749
98.2,80.97,57.56,65.9265,27.9,1,7,0.3819
96.54,98.97,52.13,60.0565,26.1,1,8,0.3887
88.11,65.62,69.95,72.825,7.1,1,2,0.4451
76.02,97.82,76.1,73.0655,28.4,1,10,0.3174
60.21,57.44,75.78,72.111,14.2,1,5,0.6126
77.26,88.2,56.71,68.466,13.1,0,10,0.5493
88.27,81.64,56.24,66.5595,13.6,1,1,0.5462
94.78,90.84,52.34,78.295,13,0,3,0.4457
89.49,51.43,92.54,69.861,17.9,0,1,0.4138
